Label,Precision,Recall,F1 Score
矿床类别,0.75,0.17647058823529413,0.2857142857142857
矿体,0.6,0.5581395348837209,0.5783132530120482
矿脉,1.0,0.8571428571428571,0.923076923076923
矿床谱系、矿床系列,0.23809523809523808,0.35714285714285715,0.2857142857142857
矿体形态,0.8205128205128205,0.7804878048780488,0.8
矿体部位,0.1111111111111111,0.12195121951219512,0.11627906976744186
矿物矿石相关,0.8673103316407207,0.7911796610038134,0.8129189292161866
矿物,0.9007263922518159,0.8794326241134752,0.8899521531100479
矿物类型,0.8,0.21428571428571427,0.3380281690140845
矿物形态,0.6901408450704225,0.6712328767123288,0.6805555555555556
矿石结构/构造,1.0,0.9444444444444444,0.9714285714285714
条件特点,0.5194964895310409,0.30518750302342484,0.36359200457905805
地物化条件/特征,0.6026490066225165,0.4690721649484536,0.527536231884058
特点,0.3125,0.029069767441860465,0.05319148936170213
趋势、数据分布、程度、顺序,0.5471698113207547,0.3717948717948718,0.44274809160305345
形成原因,1.0,0.14285714285714285,0.25
作用方式,1.0,0.15384615384615385,0.2666666666666667
作用条件,0.75,0.75,0.75
作用过程,0.5,0.2,0.28571428571428575
数据条件、部位,0.5333333333333333,0.27586206896551724,0.36363636363636365
岩石岩浆相关,0.7128457067262122,0.5936141743094867,0.6134790814382369
岩石,0.7137014314928425,0.681640625,0.6973026973026973
岩石密度,1.0,1.0,1.0
岩体,0.8028169014084507,0.7307692307692307,0.7651006711409397
岩体部位,0.4666666666666667,0.4666666666666667,0.4666666666666667
岩石类型,0.5454545454545454,0.057692307692307696,0.10434782608695652
岩石/矿物微观结构特征,0.6666666666666666,0.84,0.743362831858407
岩石结构,1.0,0.09523809523809523,0.17391304347826084
岩浆,0.4166666666666667,0.35714285714285715,0.3846153846153846
岩浆作用,0.6,0.23076923076923078,0.33333333333333337
围岩相关,0.537492909812819,0.6418604651162791,0.5713530655391121
蚀变作用,0.36585365853658536,0.6,0.4545454545454546
围岩,0.8,0.7058823529411765,0.7500000000000001
年代相关,0.5715636788693481,0.5873533246414602,0.5776092081176827
地质年代,0.7413793103448276,0.8269230769230769,0.7818181818181817
年代地层,0.41818181818181815,0.3709677419354839,0.39316239316239315
探测与分析方法,0.7230852211434735,0.47665279704114655,0.5629849609746811
数据统计方法,0.8,0.3333333333333333,0.47058823529411764
同位素方法,0.7222222222222222,0.6190476190476191,0.6666666666666666
方法、程序、原理,0.6666666666666666,0.375,0.4800000000000001
实验人物部门设备,0.6590192519839152,0.6534412955465587,0.6559396968499979
部门、人员、研究所、实验室,0.5490196078431373,0.5384615384615384,0.5436893203883495
实验处理（样品）,0.7931034482758621,0.7666666666666667,0.7796610169491527
仪器设备,0.8333333333333334,0.9090909090909091,0.8695652173913043
地质结构及活动,0.7108254909657723,0.5188050716319957,0.5941108598241074
地质构造/结构,0.8029739776951673,0.6118980169971672,0.6945337620578779
地质活动,0.45454545454545453,0.1388888888888889,0.21276595744680854
构造部位,0.3488372093023256,0.3125,0.32967032967032966
构造活动,0.2,0.16666666666666666,0.1818181818181818
成/容/控矿构造,1.0,0.6666666666666666,0.8
构造特点,0.18181818181818182,0.13333333333333333,0.15384615384615383
构造形态,1.0,0.3,0.4615384615384615
地球化学相关,0.5364506309032978,0.5438955357777063,0.4872526815553478
矿化作用,0.3225806451612903,0.10204081632653061,0.1550387596899225
化学元素,0.47941176470588237,0.692144373673036,0.5664639443961772
化学组分,0.7346938775510204,0.7346938775510204,0.7346938775510203
矿化阶段,1.0,0.18867924528301888,0.3174603174603175
矿化状态,0.65,0.1511627906976744,0.24528301886792453
分带序列,0.3404255319148936,0.7619047619047619,0.4705882352941176
成矿相关,0.5256410256410255,0.5357466063348416,0.5143171378663389
成矿条件特点,0.3333333333333333,0.15,0.20689655172413793
成矿阶段、成矿期,0.6296296296296297,0.6296296296296297,0.6296296296296297
成矿流体,0.5833333333333334,0.8235294117647058,0.6829268292682927
